deliverable,mx_check,business_name,email,phone,city,country_or_state,region,web_status,priority,legal_note,subject,draft_file
yes,MX ok (3),Salon Allure of Richmond,allure1517@yahoo.com,+1 804-359-6200,Richmond,VA,USA,DEAD,A,opt-out basis (CAN-SPAM),Salon Allure of Richmond: your website domain appears to have lapsed,drafts\023-va-salon-allure-of-richmond.txt
yes,MX ok (1),Sri Ganesh,sriganesheindhoven@hotmail.com,+31 40 236 7650,Eindhoven,Netherlands,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Sri Ganesh: your website domain appears to have lapsed,drafts\024-netherlands-sri-ganesh.txt
yes,MX ok (5),Kalurah Street Grill,kalurahstreetgrill@gmail.com,+1 225-367-1526,Baton Rouge,LA,USA,DEAD,A,opt-out basis (CAN-SPAM),Kalurah Street Grill: your website is not loading,drafts\025-la-kalurah-street-grill.txt
yes,MX ok (1),Bierhalle Esplanada,bierhalle.esplanada@globrest.com,+48 507663851,Lodz,Poland,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Bierhalle Esplanada: your website link is returning an error,drafts\026-poland-bierhalle-esplanada.txt
yes,MX ok (5),Kaminari sushi,kaminari-sushi.lodz@gmail.com,+48 574 217 610,Lodz,Poland,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Kaminari sushi: your website domain appears to have lapsed,drafts\027-poland-kaminari-sushi.txt
NO - call instead,no MX - would bounce (NXDOMAIN),Dark Angels,club@clubdarkangels.com,+48 61 853 88 62,Poznan,Poland,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Dark Angels: your website domain appears to have lapsed,
yes,MX ok (5),Bookali,bookali.larisa@gmail.com,2410414690,Larissa,Greece,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Bookali: your website domain appears to have lapsed,drafts\029-greece-bookali.txt
yes,MX ok (5),Golden Handle Brewing Co.,goldenhandleproject@gmail.com,+1-509-863-9167,Spokane,WA,USA,DEAD,A,opt-out basis (CAN-SPAM),Golden Handle Brewing Co.: your website domain appears to have lapsed,drafts\030-wa-golden-handle-brewing-co.txt
yes,MX ok (7),BLDG 5,hello@bldg5.com,+1 225-256-2287,Baton Rouge,LA,USA,DEAD,A,opt-out basis (CAN-SPAM),BLDG 5: your website link is returning an error,drafts\031-la-bldg-5.txt
yes,MX ok (3),Bicicle TeMe,bicicleteme@yahoo.com,0758908718,Timisoara,Romania,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Bicicle TeMe: your website domain appears to have lapsed,drafts\032-romania-bicicle-teme.txt
yes,MX ok (5),Studio 2 Kosmetyka,studio2kosmetyka@gmail.com,+48 530 940 457,Poznan,Poland,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Studio 2 Kosmetyka: your website domain appears to have lapsed,drafts\033-poland-studio-2-kosmetyka.txt
NO - call instead,no MX - would bounce (NXDOMAIN),Amarant-Dent,info@amarant-dent.pl,+48 664 708 957,Lodz,Poland,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Amarant-Dent: your website domain appears to have lapsed,
yes,MX ok (5),Bagel & Salsa,bageletsalade@gmail.com,+33 3 87 57 52 54,Nancy,France,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Bagel & Salsa: your website domain appears to have lapsed,drafts\035-france-bagel-salsa.txt
NO - call instead,no MX - would bounce (NXDOMAIN),Champêtre,nancy@champetre-farmfood.com,+33 3 83471066,Nancy,France,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Champêtre: your website domain appears to have lapsed,
yes,MX ok (5),Allrunes,Alrune.ttt@gmail.com,+33 7 81 78 93 65,Nancy,France,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Allrunes: your website is not loading,drafts\037-france-allrunes.txt
yes,MX ok (5),Des Peaux d'Encre,despeauxdencre@gmail.com,+33 6 46748459,Nancy,France,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Des Peaux d'Encre: your website domain appears to have lapsed,drafts\038-france-des-peaux-d-encre.txt
yes,MX ok (2),Regina Maria Dental Clinics,programaridental@reginamaria.ro,+40 21 9777,Timisoara,Romania,Europe,DEAD,A,CONSENT_REQUIRED - do not bulk send,Regina Maria Dental Clinics: your website is not loading,drafts\039-romania-regina-maria-dental-clinics.txt
yes,MX ok (7),Ramina,office@hotel-ramina.ro,+40256 -272732,Timisoara,Romania,Europe,OUTDATED,B,CONSENT_REQUIRED - do not bulk send,Ramina: how your website appears on a mobile phone,drafts\040-romania-ramina.txt
yes,MX ok (5),SIMPLE Barbershop,simple.barber.info@gmail.com,+48 786 677 659,Poznan,Poland,Europe,NO_WEBSITE,B,CONSENT_REQUIRED - do not bulk send,SIMPLE Barbershop: no website is listed for your business,drafts\041-poland-simple-barbershop.txt
yes,MX ok (1),Maison Schindler,frederique.schindler@numericable.fr,+33 3 83400998,Nancy,France,Europe,NO_WEBSITE,B,CONSENT_REQUIRED - do not bulk send,Maison Schindler: no website is listed for your business,drafts\042-france-maison-schindler.txt
yes,MX ok (3),Izzy Studio Urody,izzy-lodz@poczta.pl,+ 48 42 533 113 564,Lodz,Poland,Europe,NO_WEBSITE,B,CONSENT_REQUIRED - do not bulk send,Izzy Studio Urody: no website is listed for your business,drafts\043-poland-izzy-studio-urody.txt
yes,MX ok (3),Big Muffler Shop,bigmufflershopdayton@yahoo.com,+1-937-222-6006,Dayton,OH,USA,NO_WEBSITE,B,opt-out basis (CAN-SPAM),Big Muffler Shop: no website is listed for your business,drafts\044-oh-big-muffler-shop.txt
yes,MX ok (2),Smak Italy,smak_italy@wp.pl,+48537556655,Poznan,Poland,Europe,NO_WEBSITE,B,CONSENT_REQUIRED - do not bulk send,Smak Italy: no website is listed for your business,drafts\045-poland-smak-italy.txt
yes,MX ok (5),Sweet Surender,sweetsurrenderpl@gmail.com,+48 61 223 32 61,Poznan,Poland,Europe,NO_WEBSITE,B,CONSENT_REQUIRED - do not bulk send,Sweet Surender: no website is listed for your business,drafts\046-poland-sweet-surender.txt
